date,Gold Price(24 Karat),Gold Price(22 Karat),Gold Price(18 Karat),Gold Price(14 Karat),Gold Price(10 Karat)
14-12-2020,4328,3967,3246,2525,1803
16-12-2020,4412,4045,3309,2574,1838
18-12-2020,4452,4081,3339,2597,1855
22-12-2020,4443,4073,3332,2592,1851
24-12-2020,4429,4060,3322,2584,1845
28-12-2020,4438,4069,3329,2589,1849
30-12-2020,4459,4088,3345,2601,1858
03-01-2019,2920,2676,2190,1703,1217
07-01-2019,2894,2652,2170,1688,1206
09-01-2019,2933,2689,2200,1711,1222
11-01-2019,2913,2671,2185,1700,1214
15-01-2019,2948,2703,2211,1720,1228
17-01-2019,2952,2706,2214,1722,1230
21-01-2019,2930,2685,2197,1709,1221
23-01-2019,2937,2692,2203,1713,1224
25-01-2019,2973,2726,2230,1734,1239
29-01-2019,3010,2760,2258,1756,1254
31-01-2019,3014,2763,2260,1758,1256
04-02-2019,3024,2772,2268,1764,1260
06-02-2019,3006,2756,2255,1754,1253
08-02-2019,3007,2756,2255,1754,1253
12-02-2019,2973,2725,2229,1734,1239
14-02-2019,2996,2746,2247,1748,1248
18-02-2019,3044,2791,2283,1776,1269
20-02-2019,3063,2807,2297,1787,1276
22-02-2019,3033,2780,2274,1769,1264
26-02-2019,3032,2779,2274,1769,1263
28-02-2019,2992,2743,2244,1746,1247
04-03-2019,2934,2690,2201,1712,1223
06-03-2019,2901,2659,2175,1692,1209
08-03-2019,2923,2679,2192,1705,1218
12-03-2019,2915,2672,2186,1700,1214
14-03-2019,2889,2649,2167,1685,1204
18-03-2019,2876,2636,2157,1678,1198
20-03-2019,2911,2669,2184,1698,1213
22-03-2019,2921,2677,2191,1704,1217
26-03-2019,2923,2679,2192,1705,1218
28-03-2019,2873,2634,2155,1676,1197
02-04-2019,2863,2624,2147,1670,1193
04-04-2019,2866,2627,2149,1672,1194
08-04-2019,2903,2661,2177,1694,1210
10-04-2019,2908,2666,2181,1696,1212
12-04-2019,2870,2630,2152,1674,1196
16-04-2019,2854,2616,2140,1665,1189
18-04-2019,2846,2609,2135,1660,1186
22-04-2019,2857,2619,2142,1666,1190
24-04-2019,2873,2634,2155,1676,1197
26-04-2019,2889,2648,2166,1685,1204
30-04-2019,2870,2631,2153,1674,1196
02-05-2019,2837,2601,2128,1655,1182
06-05-2019,2863,2624,2147,1670,1193
08-05-2019,2872,2633,2154,1676,1197
